state,PVI,republican_adv,lean
Wyoming,R+25,25,R
West Virginia,R+22,22,R
North Dakota,R+20,20,R
Oklahoma,R+20,20,R
Idaho,R+18,18,R
Arkansas,R+16,16,R
Kentucky,R+16,16,R
South Dakota,R+16,16,R
Alabama,R+15,15,R
Tennessee,R+14,14,R
Nebraska,R+13,13,R
Utah,R+13,13,R
Louisiana,R+12,12,R
Indiana,R+11,11,R
Mississippi,R+11,11,R
Montana,R+11,11,R
Kansas,R+10,10,R
Missouri,R+10,10,R
Alaska,R+8,8,R
South Carolina,R+8,8,R
Iowa,R+6,6,R
Ohio,R+6,6,R
Texas,R+5,5,R
Florida,R+3,3,R
Georgia,R+3,3,R
North Carolina,R+3,3,R
Arizona,R+2,2,R
Pennsylvania,R+2,2,R
Wisconsin,R+2,2,R
Michigan,R+1,1,R
Nevada,R+1,1,R
Minnesota,D+1,-1,D
New Hampshire,D+1,-1,D
Maine,D+2,-2,D
New Mexico,D+3,-3,D
Virginia,D+3,-3,D
Colorado,D+4,-4,D
New Jersey,D+6,-6,D
Oregon,D+6,-6,D
Connecticut,D+7,-7,D
Delaware,D+7,-7,D
Illinois,D+7,-7,D
Rhode Island,D+8,-8,D
Washington,D+8,-8,D
New York,D+10,-10,D
California,D+13,-13,D
Hawaii,D+14,-14,D
Maryland,D+14,-14,D
Massachusetts,D+15,-15,D
Vermont,D+16,-16,D